pr_id,pr_title,pr_repo,ALG/FUNC,Module,RootCause,Semantic,SubComponent,Symptom,Syntactic,iSemantic,DIAction,DSAction
209,Bug fix about 'calcTwist',autowarefoundation/autoware,ALG:PURE_PURSUIT,PLANNING,ICL,WAYPOINT_FOLLOWER,MOTION,LPN,"IF, AS","PPO, SME",,"CHANGE_CONDITION_LOGIC, MODIFY_TRAJECTORY_FOLLOWER, ADJUST_MOTION_CONTROL, MODIFY_PURE_PURSUIT_ALG"
257,Fix lane_select bug.,autowarefoundation/autoware,LANE_SELECT,PLANNING,MCC,LANE_SELECT,LANE_PLANNER,LPN,IF,"PPO, DFC",,"ADD_CONDITION_LOGIC, MODIFY_LANE_SELECT_ALG, ADJUST_LANE_PLANNER, ADD_MAP/LANE_CHECKING"
259,"Runtime Manager, workaround for file save dialog segfault",autowarefoundation/autoware,RUNTIME_MANAGER,UTILITIES & TOOLS,MEM,RUNTIME_MANAGER,RUNTIME_MANAGER,IO,"MD, LIB, IF, SQ","UIA, EHR, MII",,"CHANGE/ADD_GUI_PROPERTY/ELEMENTS, MODIFY_RUNTIME_MANAGER, MOVE_STATEMENTS"
268,"fix for float(""123,456""), add str_to_float()",autowarefoundation/autoware,RUNTIME_MANAGER,UTILITIES & TOOLS,DATA,"RUNTIME_MANAGER, TYPE_CONVERSION",RUNTIME_MANAGER,DGUI,"AS, MC, MD","UIA, DFC",,"MODIFY_RUNTIME_MANAGER, CHANGE_DATA_TYPE"
287,Fix sound_player dependencies,autowarefoundation/autoware,,UTILITIES & TOOLS,CONFIG,DEP,SOUND_PLAYER,BUILD,NV,"DU, BCE, MII",,
290,Fix initialize value of wf_simulator in Runtime Manager,autowarefoundation/autoware,,SYSTEM,CONFIG,RUNTIME_MANAGER,RUNTIME_MANAGER,BUILD,NV,"BCE, UIA, MII, SPO",,
336,Fixed bug(The klt trancking node publish same distance data),autowarefoundation/autoware,ALG:KLT_TRACK,PERCEPTION,MEM,CV_TRACKER,DETECTION,IO,MC,"EA, SME, CPR",,"MODIFY_OBJECT_DETECTION, MODIFY_CV_TRACKER, MODIFY_KLT_TRACK_ALGORITHM, FIX_MEMORY_ISSUE"
348,Bugs on 2.4.8/9,autowarefoundation/autoware,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
387,Hotfix in range_fusion,autowarefoundation/autoware,ALG:PERCEPTION_FUSION,PERCEPTION,ALG,"PERCEPTION_COMPUTATION, CV_TRACKER",DETECTION,OP,SQ,"EA, SME",,"MODIFY_OBJECT_DETECTION, MODIFY_FUSION_ALGORITHM, MODIFY_CV_TRACKER, MOVE_STATEMENTS"
389,Hotfix segmentation fault in range_fusion,autowarefoundation/autoware,ALG:PERCEPTION_FUSION,PERCEPTION,MEM,PERCEPTION_COMPUTATION,DETECTION,CRASHES,LOOP,"EA, SME",,"CHANGE_PLANNING_TRAJECTORY_SEGMENTATION, MODIFY_FUSION_ALGORITHM, CHANGE_CONDITION_LOGIC, MODIFY_OBJECT_DETECTION"
436,Fix to KF caused from synchro changes,autowarefoundation/autoware,KALMAN_FILTER,PERCEPTION,ALG,KALMAN_FILTER,DETECTION,LOGIC,"SQ, MC, IF, AS","SME, EA",,"ENABLE/DISABLE/CHANGE_STATUS/FLAGS/MODE, MODIFY_IMAGE_DETECTION, MODIFY_KALMAN_FILTER_ALGORITHM, MOVE_STATEMENTS"
548,Fixed a bug. It caused by reference to out of image size,autowarefoundation/autoware,ALG:PERCEPTION_FUSION,PERCEPTION,ALG,PERCEPTION_COMPUTATION,DETECTION,CRASHES,"LOOP, IF, AS","EA, EHR",,"MODIFY_FUSION_ALGORITHM, MODIFY_OBJECT_DETECTION"
549,Defaults for unset CUDA_CAPABILITY_VERSION,autowarefoundation/autoware,,PERCEPTION,CONFIG,BUILD,DETECTION,BUILD,MC,"BCE, CEM, MII",,
550,Hotfix/javad navsat driver,autowarefoundation/autoware,LIBJAVAD_NAVSAT_DRIVER,DRIVERS,EXTER-API,DRIVER_ERROR,,UN,AS,"SDI, DFC",,"RECONFIGURE_DRIVER, FIX_API_MISUSE"
557,Feature/fix origin ndt mapping,autowarefoundation/autoware,NDT_MAPPING,PERCEPTION,ALG,"NDT, LOCALIZATION",NDT_LOCALIZER,LOC,"IF, AS","SAR, SME",,MODIFY_NDT_MAPPING/NDT_SCAN_MATCHER
597,Fix/obj fusion,autowarefoundation/autoware,ALG:PERCEPTION_FUSION,PERCEPTION,ALG,"LIDAR, PERCEPTION_COMPUTATION",DETECTION,OP,"AS, MD, LIB","SDI, LA",,"REPAIR_LIDAR_INTEGRATION_ISSUES, MODIFY_FUSION_ALGORITHM, MODIFY_OBJECT_DETECTION"
605,Fix incorrect check for the waypoint index,autowarefoundation/autoware,ALG:ASTAR_PLANNER,PLANNING,ICL,"VELOCITY_CONTROL, WAYPOINT_PROCESSING",MOTION,SVC,"MC, IF","PPO, SME",,"CHANGE_CONDITION_LOGIC, CHANGE_INCORRECT_WAYPOINT, ADJUST_VELOCITY/SPEED_CONTROL, ADJUST_ASTAR_PLANNER, ADJUST_MOTION_CONTROL"
631,"Runtime Manager, fix error at calibration_publisher button off",autowarefoundation/autoware,RUNTIME_MANAGER,UTILITIES & TOOLS,ALG,"RUNTIME_MANAGER, SCRIPT",RUNTIME_MANAGER,DGUI,IF,"UIA, SPO",,"MODIFY_RUNTIME_MANAGER, OPTIMIZE_SCRIPT_TOOLS, CHANGE/ADD_GUI_PROPERTY/ELEMENTS"
636,fix vg440 acceletation,autowarefoundation/autoware,,DRIVERS,NUM,DRIVER_ERROR,,SVC,AS,"SDI, DFC",,"CHANGE_ACCELERATION_PROPERTY, RECONFIGURE_DRIVER, UPDATE_DATA_VALUES/CALCULATION"
646, fixed compile issue for ssd node,autowarefoundation/autoware,CV_TRACKER,PERCEPTION,DEP,"CV_TRACKER, DEP, LIBRARY",DETECTION,BUILD,LIB,"BCE, DU, MII",,"CHANGE/ADD/DELETE_LIB_IMPORTING, FIX_COMPILATION_ISSUE, MODIFY_OBJECT_DETECTION, MODIFY_CV_TRACKER"
670,fix rviz config,autowarefoundation/autoware,,INFRASTRUCTURE,CONFIG,"PARAMETER, RVIZ_WARNING",RVIZ,DGUI,NV,"UIA, CEM, MII",,
676,hotfixed a yolo2 cmake issue(develop),autowarefoundation/autoware,,PERCEPTION,CONFIG,BUILD,DETECTION,BUILD,IF,"CEM, DU",,
680,Fix Dockerfile,autowarefoundation/autoware,,DOCKER,DEP,"DOCKER, DEP",,BUILD,MC,"BCE, DU",,
688,fix README for Ubuntu 16.04,autowarefoundation/autoware,,SYSTEM,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
711,Fix typo,autowarefoundation/autoware,,SYSTEM,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,
713,fix redefinition error@yolo,autowarefoundation/autoware,,PERCEPTION,CONFIG,BUILD,DETECTION,CRASHES,MC,"BCE, DU, MII",,
717,fix to free a NULL window,autowarefoundation/autoware,REGION_TLR,PERCEPTION,MEM,ROAD_WIZARD,DETECTION,CRASHES,IF,"RMI, EA",,CHANGE/ADD_GUI_PROPERTY/ELEMENTS
718,fix spelling fault,autowarefoundation/autoware,OPEN_PLANNER,PLANNING,SNT,"OPEN_PLANNER, TYPO_CORRECTING",OPEN_PLANNER,BUILD,CF,"BCE, SAR",,"MODIFY_SYNTAX_ERROR, MODIFY_OPEN_PLANNER"
732,hotfix a srv message dependencies,autowarefoundation/autoware,,MAP,DEP,DEP,VECTOR_MAP_SERVER,BUILD,MC,"DU, CEM, MII",,
733,fix dependencies,autowarefoundation/autoware,ORB_LOCALIZER,PERCEPTION,DEP,"BUILD, DEP",ORB_LOCALIZER,BUILD,MC,"BCE, CEM, MII",,
751,revise bugs in planninghelpers.cpp,autowarefoundation/autoware,OPEN_PLANNER,PLANNING,ASSI,OPEN_PLANNER,OPEN_PLANNER,LOGIC,LV,"PPO, DFC",,"MODIFY_OPEN_PLANNER, FIX_API_MISUSE"
768,Fix/zero division,autowarefoundation/autoware,SCAN2IMAGE,SENSING,ICL,PERCEPTION_COMPUTATION,FUSION,CRASHES,IF,"SME, SDI",,"CHANGE_CONDITION_LOGIC, MODIFY_FUSION_ALGORITHM, MODIFY_IMAGE_RECOGNITION_ALGORITHM"
817,bug fix on output filename.,autowarefoundation/autoware,MAP_EXTENDER,UTILITIES & TOOLS,ALG,MAP_TOOLS,MAP_TOOLS,IO,"MC, AS","MII, CEM",,CHANGE_MAP_FILE_OUTPUT
832,fix calculation of ndt_pose from localizer_pose,autowarefoundation/autoware,NDT_MATCHING,PERCEPTION,NUM,NDT,NDT_LOCALIZER,LOC,"AS, SQ","SAR, DFC",,"MODIFY_NDT_MAPPING/NDT_SCAN_MATCHER, CHANGE_LOCALIZATION_INITIALIZATION, MOVE_STATEMENTS"
833,"Runtime Manager, fix wrong scrolling when checked on kinetic",autowarefoundation/autoware,RUNTIME_MANAGER,UTILITIES & TOOLS,ALG,"RUNTIME_MANAGER, SCRIPT, PARAMETER",RUNTIME_MANAGER,DGUI,"MC, IF","UIA, MII",ADD/REMOVE/MODIFY_PARAMETER,"CHANGE/ADD_GUI_PROPERTY/ELEMENTS, MODIFY_RUNTIME_MANAGER, OPTIMIZE_SCRIPT_TOOLS"
906,Fixed mirrored images on Ladybug camera,autowarefoundation/autoware,LADYBUG,DRIVERS,ALG,"CAMERA, DRIVER_ERROR",CAMERA,"DGUI, CAM",MC,"SDI, DFC",,"ADJUST_CAMERA, RECONFIGURE_DRIVER"
939,[fix] Image src incorrectly set in the config file of runtime manager of ssd node,autowarefoundation/autoware,,UTILITIES & TOOLS,CONFIG,"RUNTIME_MANAGER, PARAMETER",RUNTIME_MANAGER,LOGIC,NV,"CEM, MII",,
941,iodevice error fix for xsens imu driver on kinetic,autowarefoundation/autoware,MT_DEVICE,DRIVERS,ASSI,DRIVER_ERROR,,IO,"MC, AS","SDI, DFC",,"RECONFIGURE_DRIVER, MODIFY_DEVICE_IO, ADJUST_MESSAGE/ADS_COMMUNICATION"
984,[hotfix] fix build error with OpenCV 3.3,autowarefoundation/autoware,,PERCEPTION,DEP,BUILD,DETECTION,BUILD,"LIB, IF","BCE, DU, MII",,
997,[Bugfix] feat_proj does not considered the possibility that the ID of the ADAS map does not start with 1,autowarefoundation/autoware,FEAT_PROJ,PERCEPTION,ALG,"TRAFFIC_SIGNAL, ROAD_WIZARD",DETECTION,CRASHES,"LOOP, LV, AS","EA, DFC",,"ADJUST_MAP_SEARCHING, MODIFY_OBJECT_DETECTION, ADJUST_TRAFFIC_SIGNAL_PROCESSING"
998,[Bugfix]  fix previous_gnss_pose does not set when first initial pose,autowarefoundation/autoware,NDT_MATCHING,PERCEPTION,ALG,NDT,NDT_LOCALIZER,LOGIC,"IF, LV","EA, LA",,"MODIFY_NDT_MAPPING/NDT_SCAN_MATCHER, CHANGE_LOCALIZATION_INITIALIZATION"
1135,Suppress compile error,autowarefoundation/autoware,DECISION_MAKER,PLANNING,DEP,LIBRARY,DECISION,BUILD,LIB,"DU, BCE, EHR",,"CHANGE/ADD/DELETE_LIB_IMPORTING, CHANGE_DECISION_MAKING_ALGORITHM"
1149,[fix] Added missing Qt5Core dependency for PCL in autoware_calibration package,autowarefoundation/autoware,CAMERA_CALIBRATOR,SENSING,CONFIG,DEP,FUSION,"BUILD, CAM",MC,"SDI, DU",,
1183,fix obstacle dtection in velocity set,autowarefoundation/autoware,VELOCITY_SET,PLANNING,CONC,"VELOCITY_CONTROL, OBSTACLE_WAYPOINT",MOTION,SVC,MC,"PPO, CC",,"MODIFY_OBJECT_DETECTION, ADJUST_MOTION_CONTROL, ADJUST_VELOCITY/SPEED_CONTROL, FIX_MEMORY_ISSUE, ADJUST_STOP/PARK_CONTROL"
1189,Fix the error that causes new allocated voxel grid corrupted.,autowarefoundation/autoware,NDT_LOCALIZER,PERCEPTION,MEM,NDT,NDT_LOCALIZER,LOGIC,"AS, MC","RMI, EA",,"MODIFY_NDT_MAPPING/NDT_SCAN_MATCHER, CHANGE/ADD_GUI_PROPERTY/ELEMENTS, FIX_MEMORY_ISSUE"
1204,fix RuntimeManager on lxterminal #1203,autowarefoundation/autoware,,SYSTEM,ALG,SCRIPT,,LAU,"IF, SQ","LA, MII",,
1216,quick fix to solve the missing light_color_managed message,autowarefoundation/autoware,DECISION_MAKER,PLANNING,ALG,"DECISION_MAKER, TRAFFIC_SIGNAL",DECISION,"IO, TLP",LOOP,"PPO, ADMI",,"CHANGE_DECISION_MAKING_ALGORITHM, ADJUST_TRAFFIC_SIGNAL_PROCESSING, ADJUST_MESSAGE/ADS_COMMUNICATION"
1376,[bugfix] Static tf broadcaster in ndt_mapping,autowarefoundation/autoware,NDT_MAPPING,PERCEPTION,DATA,"LIDAR, NDT",LIDAR_LOCALIZER,LOC,LV,"SDI, EA",,"ADD/DELETE/MODIFY_VARIABLE/PARAMETER_DECLARATION, MODIFY_NDT_MAPPING/NDT_SCAN_MATCHER, REPAIR_LIDAR_INTEGRATION_ISSUES, ADJUST_MESSAGE/ADS_COMMUNICATION"
1403,[fix] update dpkg to 1.17.5ubuntu5.8,autowarefoundation/autoware,,BUILD,DEP,"DEP, VERSIONING",,BUILD,MC,"DU, BCE",,
1436,[Fix ]bug in computing yaml,autowarefoundation/autoware,,UTILITIES & TOOLS,CONFIG,PARAMETER,RUNTIME_MANAGER,BUILD,NV,"CEM, BCE",,
1437,[Fix] Update README.md of vision_darknet_detect,autowarefoundation/autoware,,PERCEPTION,DOC,DOCUMENTATION,DETECTION/VISION_DETECTOR,DOC,DOC,DUC,,
1440,[Fix] add_dependencies into lidar_fake_perception,autowarefoundation/autoware,,PERCEPTION,DEP,DEP,DETECTION/LIDAR_DETECTOR,BUILD,MC,"DU, SDI, BCE, EA",,
1472,fix transformation from localizer to base_link in ndt_mapping,autowarefoundation/autoware,NDT_MAPPING,PERCEPTION,NUM,LIDAR,LIDAR_LOCALIZER,LOGIC,AS,"SDI, EA",,"REPAIR_LIDAR_INTEGRATION_ISSUES, MODIFY_NDT_MAPPING/NDT_SCAN_MATCHER, CHANGE_LOCALIZATION_INITIALIZATION"
1581,Fix/intrinsic calibration gui aa,autowarefoundation/autoware,CAMERA_CALIBRATOR,SENSING,ALG,CAMERA_CALIBRATION,FUSION,"CRASHES, CAM",IF,SDI,,"REPAIR_LIDAR_INTEGRATION_ISSUES, ADJUST_CAMERA, MODIFY_FUSION_ALGORITHM, CHANGE/ADD_GUI_PROPERTY/ELEMENTS"
1608,[fix] Darknet compilation on GPU Indigo envs,autowarefoundation/autoware,VISION_DARKNET_DETECT,PERCEPTION,DEP,LIBRARY,DETECTION/VISION_DETECTOR,BUILD,LIB,"SDI, EA",,"FIX_COMPILATION_ISSUE, CHANGE/ADD/DELETE_LIB_IMPORTING"
1620,[fix] bash script for catkin_make_release,autowarefoundation/autoware,,SYSTEM,CONFIG,"DEP, BUILD",,BUILD,"LV, MC","DU, BCE, CEM",,
1680,Fix CVE-2018-1000656,autowarefoundation/autoware,,UTILITIES & TOOLS,DEP,"VERSIONING, SECURITY_UPDATE",LOG_TOOLS,SS,NV,SS,,
1681,[hotfix] include <random> in lidar_naive_l_shape_detect,autowarefoundation/autoware,,PERCEPTION,DEP,LIBRARY,DETECTION/LIDAR_DETECTOR,BUILD,LIB,"SDI, EA",,"REPAIR_LIDAR_INTEGRATION_ISSUES, CHANGE/ADD/DELETE_LIB_IMPORTING, MODIFY_OBJECT_DETECTION"
1687,[Fix] Milee urdf origin and scale,autowarefoundation/autoware,,SYSTEM,CONFIG,"GUI_VEHICLE, PARAMETER",,DGUI,NV,"UIA, CEM, MII",,
1699,fix emergency bug,autowarefoundation/autoware,ALG:TWIST_GATE,PLANNING,ALG,WAYPOINT_FOLLOWER,MOTION,STOP,"IF, SQ",PPO,,"MODIFY_EMERGENCY_MODE, ADJUST_MOTION_CONTROL, MODIFY_TRAJECTORY_FOLLOWER, MODIFY_TWIST_GATE_ALGORITHM, MOVE_STATEMENTS"
1703,Fix error in Amathutils.cpp ,autowarefoundation/autoware,FUNC:GET_NEAR_POINT_ON_LINE,UTILITIES & TOOLS,NUM,DISTANCE_COMPUTATION,,LOGIC,AS,LA,,UPDATE_DATA_VALUES/CALCULATION
1706,Fixed wrong assignement of message type to package,autowarefoundation/autoware,,DOCUMENTATION,CONFIG,PARAMETER,,LAU,NV,CEM,,UPDATE_DATA_VALUES/CALCULATION
1775,Fix deceleration value bug in following state,autowarefoundation/autoware,DECISION_MAKER,PLANNING,ICL,"DECISION_MAKER, OPEN_PLANNER",OPEN_PLANNER,SVC,IF,"ADMI, PPO",,"FIX_DECELERATION_BUG, CHANGE_CONDITION_LOGIC, MODIFY_OPEN_PLANNER, CHANGE_DECISION_MAKING_ALGORITHM, ADJUST_STOP/PARK_CONTROL"
1780,[Fix] Add grid_map_vizualization to run_depend,autowarefoundation/autoware,,PERCEPTION,CONFIG,DEP,OBJECT_MAP,BUILD,NV,"DU, CEM, SDI, EA",,
1817,[Fix] rosbag split size in runtime manager,autowarefoundation/autoware,RUNTIME_MANAGER,UTILITIES & TOOLS,NUM,SCRIPT,RUNTIME_MANAGER,LOGIC,"MC, RT",LA,,"MODIFY_RECORD_PROCESSING/PLAY_ERROR, MODIFY_RUNTIME_MANAGER, OPTIMIZE_SCRIPT_TOOLS, UPDATE_DATA_VALUES/CALCULATION"
1851,[Fix] Link error at docker build,autowarefoundation/autoware,,DOCKER,CONFIG,"DEP, DOCKER",,BUILD,MC,"BCE, CEM",,
1858,Fix link error at docker build (#1849),autowarefoundation/autoware,,DOCKER,CONFIG,"DEP, DOCKER",,BUILD,MC,"CEM, BCE",,
1921,[Fix] industrial_ci failure in feature/rebuild_decision_maker,autowarefoundation/autoware,,PLANNING,CONFIG,BUILD,DECISION,BUILD,LOOP,"BCE, ADMI",,
1956,Fix/autoware health checker,autowarefoundation/autoware,,SYSTEM,CONFIG,"DEP, BUILD, CI_PIPELINE",AUTOWARE_HEALTH_CHECKER,OT,MC,"DU, BCE, CEM, MII",,
2000,Fix/colcon build,autowarefoundation/autoware,,PERCEPTION,CONFIG,BUILD,DETECTION/VISION_DETECTOR,BUILD,MC,"BCE, SDI, CEM",,
2089,[fix melodic] Add missing numeric header on lidar_detector,autowarefoundation/autoware,,PERCEPTION,DEP,LIBRARY,DETECTION/LIDAR_DETECTOR,BUILD,LIB,"DU, BCE",,"REPAIR_LIDAR_INTEGRATION_ISSUES, CHANGE/ADD/DELETE_LIB_IMPORTING"
2142,Change RTM default topic to match UKF node launch file,autowarefoundation/autoware,,UTILITIES & TOOLS,CONFIG,PARAMETER,RUNTIME_MANAGER,DGUI,NV,CEM,,
2219,fix install directive for waypoint extractor,autowarefoundation/autoware,,PLANNING,CONFIG,"PARAMETER, WAYPOINT_MAKER, BUILD",MOTION,IO,MC,"PPO, CEM, BCE",,
2266,Fix param type of deceleration_range,autowarefoundation/autoware,,UTILITIES & TOOLS,CONFIG,"PARAMETER, TYPE_CONVERSION",RUNTIME_MANAGER,UN,NV,"CEM, DFC",,
2268,Fix gazebo not found in colcon_release_cross,autowarefoundation/autoware,,INFRASTRUCTURE,DEP,VERSIONING,,BUILD,NV,"BCE, MII",,
2269,Updating citysim ref to pull in CMake fix.,autowarefoundation/autoware,,SIMULATOR,CONFIG,BUILD,GAZEBO_SIMULATOR,BUILD,MC,"BCE, SPO, CEM",,
2272,Fix segmentation fault at velocity_set or unintended planning by asynchronous base_waypoints and closest_waypoint,autowarefoundation/autoware,VELOCITY_SET,PLANNING,ICL,WAYPOINT_PLANNER,MOTION,SVC,IF,PPO,,"CHANGE_PLANNING_TRAJECTORY_SEGMENTATION, FIX_EMPTY_WAYPOINTS, CHANGE_CONDITION_LOGIC, ADJUST_MOTION_CONTROL, ADJUST_VELOCITY/SPEED_CONTROL, MODIFY_WAYPOINT_PLANNER"
2409,docs: fix links to autoware.ai wiki,autowarefoundation/autoware,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
2728,fix(docker): remove all CUDA apt repositories not to cause errors during apt update,autowarefoundation/autoware,,DOCKER,CONFIG,"BUILD, DOCKER",,BUILD,MC,"BCE, CEM",,
2732,docs: add note to use rocker without the CUDA environment error,autowarefoundation/autoware,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
2736,fix(docker): register Vulkan GPU vendors,autowarefoundation/autoware,,DOCKER,CONFIG,"DOCKER, DEP",,BUILD,MC,"DU, BCE, CEM",,
2810,fix: remove bin and samples to keep backward compatibility,autowarefoundation/autoware,,BUILD,DEP,"DEP, PARAMETER",,BUILD,NV,"DU, BCE, CEM",,
2823,chore(.clang-tidy): fix settings of readability-identifier-naming,autowarefoundation/autoware,,SYSTEM,SNT,PARAMETER,,BUILD,NV,"BCE, CEM, MII",,
2928,fix(setup): fix pipx check,autowarefoundation/autoware,,SYSTEM,ICL,"BUILD, PARAMETER",,LAU,IF,"BCE, CEM, MII",,
2986,docs(ansible/cuda): fix outdated cuda version in README,autowarefoundation/autoware,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
3105,fix(.webauto-ci): update Webauto CI for humble,autowarefoundation/autoware,,SYSTEM,CONFIG,"CI_PIPELINE, PARAMETER",,BUILD,NV,"BCE, CEM, MII",,
3239,fix(docker): replace ADD by RUN curl,autowarefoundation/autoware,,DOCKER,CONFIG,DOCKER,,BUILD,MC,"BCE, CEM",,
3241,fix(docker): force docker image building without cache,autowarefoundation/autoware,,DOCKER,CONFIG,"DOCKER, PARAMETER",,BUILD,MC,"BCE, CEM",,
3290,fix(setup): install pip in the setup script,autowarefoundation/autoware,,SYSTEM,DEP,DEP,,BUILD,"IF, SQ","DU, BCE, MII",,
3303,fix(docker):  avoid empty string in bake's arguments when `targets` not specified,autowarefoundation/autoware,,DOCKER,ASSI,DOCKER,,BUILD,AS,"DU, BCE",,
3327,fix(docker/build.sh): args prebuilt_base_image,autowarefoundation/autoware,,DOCKER,CONFIG,"PARAMETER, DOCKER",,BUILD,LV,"DU, CEM, BCE",,
3350,fix(docker): broken OpenGL with old mesa libs,autowarefoundation/autoware,DOWNLOAD_DEPENDENCY,DOCKER,DEP,DEP,,DGUI,MC,DU,,
3562,fix(README): update info for Autoware.AI,autowarefoundation/autoware,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
3593,build: backport fix for behavior_path_planner for release/2023.05,autowarefoundation/autoware,,BUILD,DEP,"DEP, VERSIONING",,BUILD,NV,"DU, BCE",,
3848,fix: add updated artifacts for tensorrt_yolox,autowarefoundation/autoware,,BUILD,CONFIG,DEP,,BUILD,NV,"DU, BCE, CEM",,
3866,fix: update all downloaded files with their SHA256 checksum (2),autowarefoundation/autoware,,BUILD,CONFIG,DEP,,BUILD,NV,"DU, CEM, BCE",,
128,fix: shift decider README (#750),autowarefoundation/autoware.universe,,CONTROL,DOC,DOCUMENTATION,SHIFT_DECIDER,DOC,DOC,DUC,,
132,fix: fix pedestrian shape (#760),autowarefoundation/autoware.universe,PEDESTRIAN_TRACKER,PERCEPTION,MCC,"OBSTACLE_MODEL, OBJECT_TRACKER",MULTI_OBJECT_TRACKER,OP,"IF, AS","EA, SME, DFC",,"ADD_CONDITION_LOGIC, MODIFY_OBJECT_DETECTION"
137,fix: use transient_local (#763),autowarefoundation/autoware.universe,LANE_DEPARTURE_CHECKER,CONTROL,EXTER-API,LANE_DEPARTURE_CHECKER,LANE_DEPARTURE_CHECKER,LPN,"AS, MC","CSA, DFC",,"ADJUST_MESSAGE/ADS_COMMUNICATION, ADD_MAP/LANE_CHECKING"
147,test(behavior_velocity_planner): fix gtest error,autowarefoundation/autoware.universe,TEST_STATE_MACHINE,PLANNING,ALG,TEST_RELATED,BEHAVIOR_VELOCITY_PLANNER,LOGIC,"LIB, LV, IF, MC","PPO, DTI",,"CHANGE/ADD/DELETE_LIB_IMPORTING, MODIFY_TEST_CASE/UTILS/MANAGER"
151,fix: fix isInLanelet (#770),autowarefoundation/autoware.universe,,MAP,ICL,"GEOGRAPHY, MAP_TOOLS",LANELET2_EXTENSION,LOGIC,"IF, LV","SAR, SME, DFC",,"MODIFY_LANELET_COMPUTATION, CHANGE_CONDITION_LOGIC"
