pr_id,pr_title,pr_repo,ALG/FUNC,Module,RootCause,Semantic,SubComponent,Symptom,Syntactic,iSemantic,DIAction,DSAction
4081,"Planning: fix a bug for ""reference_line_provider_"".",ApolloAuto/apollo,,PLANNING,MCC,REFERENCE_LINE,,LPN,IF,"PPO, SME",,ADD_CONDITION_LOGIC
4365,Map: added the path priority parameter for a navigation path and fixed a bug in NavigationLane::MergeNavigationLineAndLaneMarker().,ApolloAuto/apollo,NAVIGATION_LANE,MAP,ALG,"NAVIGATION_LANE, MAP_TOOLS",RELATIVE_MAP,LPN,"SQ, LOOP, MC, AS","SAR, LA",,OPTIMIZE_NAVIGATION
4470,Fix startup script for users with multiple groups,ApolloAuto/apollo,,DOCKER,EXTER-API,"SCRIPT, DOCKER",,LAU,MC,"BCE, EHR",,
4629,[tools]fix unrecognized arguments: -f ,ApolloAuto/apollo,,UTILITIES & TOOLS,INTER-API,"SCRIPT, PARAMETER",,LAU,MC,"MII, DFC",,
4765,sample_pnc_topics.py: fix the argument check up and use classmethod decorator [#4764],ApolloAuto/apollo,,UTILITIES & TOOLS,ICL,SCRIPT,ROSBAG,LOGIC,"IF, MD","MII, IC",,"OPTIMIZE_SCRIPT_TOOLS, CHANGE_CONDITION_LOGIC, FIX_API_MISUSE"
4776,Copy bags between disks fix,ApolloAuto/apollo,,UTILITIES & TOOLS,ALG,"DATA_PROCESSING, VERSIONING, SCRIPT",ROSBAG,IO,LOOP,"MII, IC, RDPI",,"OPTIMIZE_SCRIPT_TOOLS, CHANGE_VERSION, CHANGE_DATA_PROCESSING"
4784,Result2pb.py:  call sys.exit() with 1 to indicate the error #4783 ,ApolloAuto/apollo,,UTILITIES & TOOLS,ALG,SCRIPT,CALIBRATION,LOGIC,MC,"MII, EHR",,"OPTIMIZE_SCRIPT_TOOLS, VEHICLE_CALIBRATION"
4790,fix #4789.,ApolloAuto/apollo,,MAP,NUM,MAP_TOOLS,MAP_TOOLS,LOGIC,MC,"SAR, DFC",,"CHANGE_DATA_TYPE, MODIFY_MAP_CREATOR/GENERATOR"
4890,"correct three possible error word use, IMU->SPAN-IGM-A1",ApolloAuto/apollo,,DOCUMENTATION,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,
4907,"Update Guideline_sensor_Installation_apollo_3.0.md, correct three typing errors",ApolloAuto/apollo,,DOCUMENTATION,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,
4924,perception:Fix a code error of camera,ApolloAuto/apollo,,PERCEPTION,SNT,"CAMERA, PERCEPTION_COMPUTATION, TYPO_CORRECTING",,"CAM, CRASHES",LV,"EA, DFC",,"FIX_API_MISUSE, ADJUST_CAMERA"
5107,planning: modified default values for lateral trajectory optimization…,ApolloAuto/apollo,,PLANNING,CONFIG,TRAJECTORY_GENERATOR,,TRAJ,LV,"PPO, DFC",,"ENABLE/DISABLE/CHANGE_STATUS/FLAGS/MODE, UPDATE_DATA_VALUES/CALCULATION"
5133,scripts: fix docker data volume leak,ApolloAuto/apollo,,DOCKER,MEM,SCRIPT,,BUILD,"MC, SQ","BCE, RMI, MII",,
5142,NaviPlaner:fix bug speed config items in planning_config_navi.pb.txt …,ApolloAuto/apollo,,PLANNING,CONFIG,"PARAMETER, SPEED_LIMIT, SPEED_PLANNING",,SVC,NV,"PPO, CEM",,
5190,planning: fix incorrect stop fence for pedestrian behind ADC upon a u-turn (#2428),ApolloAuto/apollo,CROSSWALK,PLANNING,ICL,"STOP_FENCE, U_TURN",TRAFFIC_DECIDER,STOP,"IF, AS, MC, LV","PPO, SME",,"CHANGE_DECISION_MAKING_ALGORITHM, ADJUST_TRAFFIC_SIGNAL_PROCESSING, ADJUST_STOP/PARK_CONTROL, MODIFY_CROSSWALK_PROCESSING"
5197,dreamview:change chassis_high_beam default action to NONE,ApolloAuto/apollo,,HMI,CONFIG,"PARAMETER, VISUALIZATION",DREAMVIEW,DGUI,NV,"UIA, MII, CEM",,
5245,Fix typo error,ApolloAuto/apollo,,DOCUMENTATION,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,
5247,fix issue #5246,ApolloAuto/apollo,,PERCEPTION,DATA,"TYPE_CONVERSION, PERCEPTION_COMPUTATION",OBSTACLE/CAMERA,"OP, CAM","LOOP, LV","EA, DFC",,"MODIFY_OBJECT_DETECTION, ADJUST_CAMERA, CHANGE_DATA_TYPE"
5263,fix issue #5262.,ApolloAuto/apollo,,PERCEPTION,EXTER-API,"RECORDER, DATA_PROCESSING",OBSTACLE/CAMERA,"IO, CAM",MC,"MII, DFC, RDPI",,"ADJUST_CAMERA, MODIFY_OBJECT_DETECTION, FIX_API_MISUSE, CHANGE_DATA_PROCESSING"
5331,Dreamview: Fix Lidar point cloud visualization,ApolloAuto/apollo,POINT_CLOUD,HMI,INTER-API,"POINT_CLOUD, VISUALIZATION",DREAMVIEW,DGUI,"LOOP, MC, LV","UIA, MII",,"MODIFY_POINTCLOUD_PROCESSING, MODIFY_SIMULATION_VISUALIZATION, FIX_API_MISUSE"
5332,tiny clerical error in  perception_apollo_3.0.md,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
5547,[Localization] Fix bug in extract_ground_plane,ApolloAuto/apollo,,LOCALIZATION,ICL,"LOCALIZATION_COMPUTATION, LOCALIZATION",MSF_LOCALIZATION,CRASHES,IF,"SAR, SME",,"MODIFY_MSF_LOCALIZATION, CHANGE_CONDITION_LOGIC"
5563,NaviPlanner: fix an uninitialized variable,ApolloAuto/apollo,NAVI_SPEED_DECIDER,PLANNING,ASSI,"NAVI_SPEED_DECIDER, DECIDER_RELATED",NAVIGATION,SVC,"LOOP, AS","ADMI, SME",,"CHANGE_DECISION_MAKING_ALGORITHM, ADJUST_VELOCITY/SPEED_CONTROL, OPTIMIZE_NAVIGATION, UPDATE_DATA_VALUES/CALCULATION"
5623,All: Fix bug when testing USE_GPU flag in apollo.sh.,ApolloAuto/apollo,,SYSTEM,ICL,SCRIPT,,BUILD,"AS, IF","MII, BCE",,
5679,[tools]* fix control calibration tools init parameters,ApolloAuto/apollo,DATA_COLLECTOR,UTILITIES & TOOLS,ASSI,"SCRIPT, CALIBRATION",CALIBRATION,LOGIC,AS,"MII, DFC",,"OPTIMIZE_SCRIPT_TOOLS, VEHICLE_CALIBRATION"
5696,Tools/calibration: Fix 2 syntax errors,ApolloAuto/apollo,,UTILITIES & TOOLS,SNT,"SCRIPT, CAMERA_CALIBRATION",CALIBRATION,"CRASHES, CAM",SYN,"MII, DFC",,"ADJUST_INDENT_IN_PYTHON, OPTIMIZE_SCRIPT_TOOLS, VEHICLE_CALIBRATION"
5896,Docs-CN: fix the document since init_secure_upgrade method has output…,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
5908,Tools/recorder: Catch the OSError exception rather than Exception.,ApolloAuto/apollo,DATA_RECORDER_MANAGER,UTILITIES & TOOLS,EXTER-API,"DEBUG_CHANGE, RECORDER",RECORDER,"LOGIC, IO","TRY, MC","EHR, MII",,"FIX_API_MISUSE, MODIFY_RECORD_PROCESSING/PLAY_ERROR, OPTIMIZE_SCRIPT_TOOLS, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS"
5921,Localization: Fix typo in README.md,ApolloAuto/apollo,,LOCALIZATION,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,
5960,Fix typo,ApolloAuto/apollo,,PLANNING,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,MODIFY_SYNTAX_ERROR
5961,Fix typo,ApolloAuto/apollo,,DOCUMENTATION,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,
5962,Fix typo,ApolloAuto/apollo,,PLANNING,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,MODIFY_SYNTAX_ERROR
5963,Fix typo,ApolloAuto/apollo,,DOCUMENTATION,DOC,"DOCUMENTATION, TYPO_CORRECTING",,DOC,DOC,DUC,,
5967,Tools/map_gen: Rewrite this program via a few bug fixes.,ApolloAuto/apollo,ADD_SIGNAL,UTILITIES & TOOLS,ALG,"TRAFFIC_SIGNAL, MAP_TOOLS",MAP_GEN,IO,"TRY, AS, MC, LV","EHR, MII",,"MODIFY_MAP_CREATOR/GENERATOR, OPTIMIZE_SCRIPT_TOOLS"
6023,Perception: fixed bug in Yuyv2rgb conversion for AVX non-compliant CPUs.,ApolloAuto/apollo,COLOR_SPACE,PERCEPTION,SNT,TRAFFIC_SIGNAL,TRAFFIC_LIGHT,TLP,"LV, AS","EA, DFC",,"ADJUST_TRAFFIC_SIGNAL_PROCESSING, UPDATE_DATA_VALUES/CALCULATION"
6042,Perception: fix endless loop in cc_lane_post_processor,ApolloAuto/apollo,LANE_POST_PROCESS,PERCEPTION,NUM,PERCEPTION_COMPUTATION,OBSTACLE/CAMERA/LANE_POST_PROCESS/CC_LANE_POST_PROCESSOR,"CAM, HANGS, OP",AS,"EA, SME",,"ADJUST_CAMERA, MODIFY_OBJECT_DETECTION"
6055,I fixed typo,ApolloAuto/apollo,,DOCKER,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
6065,Fixed typo,ApolloAuto/apollo,,PREDICTION,SNT,"TYPO_CORRECTING, DEBUG_CHANGE",,IO,MC,"EHR, DTI, PAE",,"MODIFY_SYNTAX_ERROR, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS"
6066,Fixed typo,ApolloAuto/apollo,,HMI,DOC,DOCUMENTATION,DREAMVIEW,DOC,DOC,DUC,,MODIFY_SYNTAX_ERROR
6184,Perception:Fix detection of very close traffic lights,ApolloAuto/apollo,,PERCEPTION,CONFIG,"PARAMETER, CAMERA, TRAFFIC_LIGHT_DETECTION, TRAFFIC_SIGNAL",PRODUCTION,"TLP, CAM",NV,"SDI, CEM",,
6190,Perception: fixed a bug in information matrix update step,ApolloAuto/apollo,,PERCEPTION,NUM,"PERCEPTION_COMPUTATION, DATA_PROCESSING, FUSION_SYSTEM",FUSION,LOGIC,AS,"DFC, EA, RDPI",,"MODIFY_FUSION_ALGORITHM, UPDATE_DATA_VALUES/CALCULATION"
6206,Localization: Bugfix Moved AdapterInit function before MsgCallBack,ApolloAuto/apollo,LMD_LOCALIZATION,LOCALIZATION,INTER-API,"LMD_LOCALIZATION, LOCALIZATION, LOCALIZATION_COMPUTATION",LMD,LOGIC,SQ,"SAR, DFC",,"MODIFY_LMD_LOCALIZATION, MOVE_STATEMENTS"
6315,NaviGenerator:Fixed a bug that the file operator imported a 0xFF from file.,ApolloAuto/apollo,NAVI_GENERATOR,UTILITIES & TOOLS,INTER-API,NAVI_GENERATOR,NAVIGATION,IO,SQ,"MII, EHR",,"FIX_API_MISUSE, MOVE_STATEMENTS, OPTIMIZE_NAVIGATION"
6411,Cyber: Fix the missing import in cyber_launch,ApolloAuto/apollo,,INFRASTRUCTURE,DEP,"LIBRARY, DEP",CYBER_TOOLS,LAU,LIB,"MII, DU",,"CHANGE/ADD/DELETE_LIB_IMPORTING, ADJUST_ADS_FRAMEWORK, OPTIMIZE_SCRIPT_TOOLS"
6503,framework: fix implicit conversions,ApolloAuto/apollo,SCREEN,HMI,DATA,TYPE_CONVERSION,CYBER_MONITOR,BUILD,LV,"MII, EHR",,"CHANGE_DATA_TYPE, ADJUST_CYBER_MONITOR, ADJUST_ADS_FRAMEWORK"
6614,Perception: Fixed perception.sh to adapt to cyber RT,ApolloAuto/apollo,,PERCEPTION,INTER-API,SCRIPT,,LAU,MC,"MII, LA",,
6736,fixing bosfs build error in installer script install_bosfs.sh,ApolloAuto/apollo,,DOCKER,DEP,"SCRIPT, PARAMETER, DEP",,BUILD,MC,"BCE, DU, MII",,
6788,Perception: Fix the crash of HDMap ROI filter with radar,ApolloAuto/apollo,RADAR_OBSTACLE_PERCEPTION,PERCEPTION,MCC,DEBUG_CHANGE,RADAR,CRASHES,"IF, MC","DTI, EA, EHR",,"ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, ADD_CONDITION_LOGIC, ADJUST_RADAR_RELATED_ALG"
6826,planning: fixed nudge decision with considering path to obstacles dis…,ApolloAuto/apollo,PATH_DECIDER,PLANNING,ICL,DECIDER_RELATED,OPTIMIZERS/PATH_DECIDER,OP,"IF, LV","ADMI, SME",,"CHANGE_DECISION_MAKING_ALGORITHM, CHANGE_CONDITION_LOGIC"
7198,fix coverage error: can't find .gcno files,ApolloAuto/apollo,,SYSTEM,ALG,SCRIPT,,OT,"IF, AS, MC","MII, DTI",,
7250,"drivers: rewrite extrinsics_broadcaster via subprocess, fix file hand…",ApolloAuto/apollo,,DRIVERS,MEM,"SCRIPT, MEMORY_LEAK",VELODYNE,LOGIC,"IF, TRY, LIB, AS, MC","RMI, FSH",,"RECONFIGURE_DRIVER, OPTIMIZE_SCRIPT_TOOLS"
7269,fix a bug when initialize cuda,ApolloAuto/apollo,,PLANNING,ALG,CUDA,OPEN_SPACE/TRAJECTORY_SMOOTHER,TRAJ,RT,"MII, DU",,"ADD/DELETE/CHANGE_RETURN_VALUES, FIX_CUDA_ISSUES, MODIFY_TRAJECTORY_SMOOTHER"
7290,Docker:fix pyproj install problem,ApolloAuto/apollo,,DOCKER,DEP,"PARAMETER, DEP, DOCKER, VERSIONING",,BUILD,NV,"DU, BCE, MII",,
7304,Perception: Fix voxel issue #6945,ApolloAuto/apollo,,PERCEPTION,INTER-API,PERCEPTION_COMPUTATION,,OP,MC,"EA, DFC",,FIX_API_MISUSE
7512,framework:fixed TypeError: signal_handler(),ApolloAuto/apollo,,INFRASTRUCTURE,ALG,CYBER_CHANNEL,,CRASHES,MD,"MII, DFC",,
7559,Tools: improve record file validation to check up fixed header length…,ApolloAuto/apollo,ALG:SENSOR_CALIBRATION/EXTRACT_DATA,SENSING,MCC,"DATA_PROCESSING, RECORDER",VEHICLE_CALIBRATION,LOGIC,"IF, RT, MC","MII, EHR, RDPI",,"OPTIMIZE_SCRIPT_TOOLS, ADD_CONDITION_LOGIC, VEHICLE_CALIBRATION"
7597,planning: open space fixed wrong fallback trajectory,ApolloAuto/apollo,OPEN_SPACE_FALLBACK_DECIDER,PLANNING,ALG,"DECIDER_RELATED, PLANNING_FALLBACK",DECIDERS/OPEN_SPACE_DECIDER,TRAJ,"AS, MC, SQ","ADMI, DFC",,"OPTIMIZE_PLANNING_TASKS, CHANGE_DECISION_MAKING_ALGORITHM, MOVE_STATEMENTS"
7669,Cyber: fix cyber_launch bug from #7382,ApolloAuto/apollo,,INFRASTRUCTURE,SNT,DEBUG_CHANGE,CYBER_TOOLS,LAU,MC,"MII, DTI",,
7671,planning: open space fix rigid transform bug when extracting obstacles,ApolloAuto/apollo,OPEN_SPACE_ROI_DECIDER,PLANNING,ALG,DECIDER_RELATED,DECIDERS/OPEN_SPACE_DECIDER,OP,"IF, MC, LOOP","DFC, ADMI",,"CHANGE_DECISION_MAKING_ALGORITHM, OPTIMIZE_PLANNING_TASKS"
7760,planning: fix open space fallback shaking issue,ApolloAuto/apollo,OPEN_SPACE_FALLBACK_DECIDER,PLANNING,ALG,"DECIDER_RELATED, PLANNING_FALLBACK",DECIDERS/OPEN_SPACE_DECIDER,TRAJ,MC,"DFC, ADMI",,"FIX_API_MISUSE, CHANGE_DECISION_MAKING_ALGORITHM, OPTIMIZE_PLANNING_TASKS"
7860,canbus:fix build warning,ApolloAuto/apollo,CH_CONTROLLER,CAN BUS,ASSI,VEHICLE_CONTROLLER,CANBUS_VEHICLE,BUILD,LV,"MII, BCE",,"CHANGE_VEHICLE_CONTROL, FIX_API_MISUSE"
7908,Docs: Tiny fix on image location.,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
8397,fix the missing update of lane_change_type,ApolloAuto/apollo,REFERENCE_LINE_PROVIDER,PLANNING,ASSI,LANE_CHANGE,REFERENCE_LINE,LPN,AS,"PPO, SME",,ADJUST_LANE_PLANNER
8402,fix path length calculation,ApolloAuto/apollo,NAVI_PATH_DECIDER,PLANNING,NUM,DECIDER_RELATED,NAVIGATION,LOGIC,AS,"DFC, ADMI",,"CHANGE_DECISION_MAKING_ALGORITHM, UPDATE_DATA_VALUES/CALCULATION"
8521,fix typo,ApolloAuto/apollo,,UTILITIES & TOOLS,DOC,DOCUMENTATION,,DOC,DOC,DUC,,MODIFY_SYNTAX_ERROR
8571,Planning: disable s_curve_speed_smooth to fix errors in control-in-th…,ApolloAuto/apollo,,PLANNING,CONFIG,PARAMETER,,SVC,NV,"PPO, EHR",,
8596,Perception: Fix traffic light tracking issue,ApolloAuto/apollo,SEMANTIC_DECISION,PERCEPTION,ICL,"TRAFFIC_SIGNAL, TRAFFIC_LIGHT_TRACKING",CAMERA,"TLP, CAM",IF,"SME, ADMI",,"ADJUST_TRAFFIC_SIGNAL_PROCESSING, ADJUST_CAMERA, CHANGE_CONDITION_LOGIC"
8664,Localization: Fix acceleration_vrf.,ApolloAuto/apollo,LOCALIZATION_INTEG,LOCALIZATION,ALG,"VELOCITY_CONTROL, LOCALIZATION_COMPUTATION",MSF_LOCALIZATION,SVC,MC,"SAR, DFC",,"MODIFY_MSF_LOCALIZATION, CHANGE_ACCELERATION_PROPERTY"
8824,Control: fix bug on updating matrix_a_ when switching from backward to forward…,ApolloAuto/apollo,LAT_CONTROLLER,CONTROL,ASSI,"CONTROL_COMPUTATION, GEAR_SWITCHING",CONTROLLER,SVC,AS,"CSA, DFC",,"CHANGE_CONTROL_LOGIC, UPDATE_DATA_VALUES/CALCULATION"
